new_filename,page_journal,page_docx,number,url
Svoboda_AR1,1,,11567,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11567/default.jpg
Svoboda_AR2,2,139,11617,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11617/default.jpg
Svoboda_AR3,3,138,11628,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11628/default.jpg
Svoboda_AR4,4,137,11639,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11639/default.jpg
Svoboda_AR5,5,136,11650,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11650/default.jpg
Svoboda_AR6,6,135,11661,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11661/default.jpg
Svoboda_AR7,7,134,11672,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11672/default.jpg
Svoboda_AR8,8,133,11683,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11683/default.jpg
Svoboda_AR9,9,132,11694,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11694/default.jpg
Svoboda_AR10,10,131,11568,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11568/default.jpg
Svoboda_AR11,11,130,11579,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11579/default.jpg
Svoboda_AR12,12,129,11590,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11590/default.jpg
Svoboda_AR13,13,128,11601,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11601/default.jpg
Svoboda_AR14,14,127,11611,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11611/default.jpg
Svoboda_AR15,15,126,11612,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11612/default.jpg
Svoboda_AR16,16,125,11613,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11613/default.jpg
Svoboda_AR17,17,124,11614,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11614/default.jpg
Svoboda_AR18,18,123,11615,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11615/default.jpg
Svoboda_AR19,19,122,11616,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11616/default.jpg
Svoboda_AR20,20,121,11618,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11618/default.jpg
